1,-0.0000
2,0.0000
3,-0.0000
4,0.9879
5,0.4989
6,1.0766
7,0.0000
8,-0.0000
9,-0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.3731
14,-0.0365
15,-0.0000
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0441
22,-0.0000
23,-0.0000
24,1.2051
25,-0.0000
26,0.0000
27,0.0000
28,-0.0000
29,-0.0277
30,0.2284
31,0.0001
32,-0.0000
33,0.0000
34,-0.0245
35,-0.0000
36,0.0000
37,0.0000
38,0.0000
39,-0.0000
40,0.1598
41,-0.0000
42,-0.0155
43,0.0000
44,0.0000
45,0.0000
46,-0.0000
47,0.0000
48,0.0000
49,-0.0000
50,0.0000
51,0.0000
52,-0.0000
53,0.0044
54,0.0000
55,0.0196
56,0.0000
57,-0.0000
58,-0.0000
59,0.1264
60,-0.0000
61,0.0035
62,-0.0000
63,0.0000
64,0.0000
65,-0.0000
66,0.0000
67,-0.0000
68,0.0206
69,0.0000
70,0.1272
71,-0.0001
72,-0.0672
73,-0.0000
74,0.0000
75,0.0000
76,-0.0000
77,0.0424
78,-0.0000
79,0.3479
80,-0.0000
81,0.0000
82,0.0000
83,-0.0000
84,-0.0000
85,-0.0145
86,0.0000
87,-0.0000
88,0.0384
89,0.0000
90,-0.0000
91,0.0000
92,-0.0000
93,-0.0000
94,0.0924
95,0.0000
96,0.0000
97,-0.0102
98,0.0163
99,0.0000
100,0.0000
