1,-0.0000
2,0.0000
3,0.0000
4,0.7718
5,0.8555
6,0.8954
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0001
12,-0.0000
13,0.4251
14,0.0452
15,-0.0000
16,0.0000
17,0.0000
18,-0.0000
19,0.0000
20,0.0000
21,-0.0000
22,0.0997
23,0.2624
24,-0.0000
25,0.9067
26,0.0000
27,0.0000
28,-0.0000
29,0.0000
30,0.2736
31,0.0023
32,-0.0000
33,0.0000
34,0.0000
35,0.0273
36,0.0000
37,-0.0000
38,0.1648
39,-0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,-0.0184
45,0.0000
46,0.0000
47,0.0000
48,-0.0000
49,0.0000
50,0.1289
51,-0.0114
52,0.0000
53,-0.0000
54,0.0000
55,0.0044
56,0.0000
57,0.0173
58,0.0000
59,0.0000
60,0.0000
61,0.0139
62,0.0000
63,-0.0000
64,-0.0000
65,0.0000
66,-0.1365
67,0.0002
68,0.1012
69,0.0000
70,-0.0000
71,0.0000
72,0.0097
73,-0.0000
74,-0.0000
75,-0.0000
76,-0.0000
77,0.0000
78,0.0180
79,-0.0000
80,0.0002
81,-0.0544
82,0.0008
83,0.3431
84,0.0000
85,-0.0000
86,-0.0000
87,-0.0000
88,0.0000
89,-0.0256
90,0.0000
91,0.0918
92,0.0000
93,-0.0000
94,-0.0000
95,-0.0000
96,0.0000
97,0.0000
98,0.0124
99,-0.0000
100,0.0251
