1,-0.0000
2,-0.1573
3,-0.0000
4,0.0000
5,-0.0000
6,0.0000
7,0.1333
8,0.0000
9,-0.1814
10,-0.0000
11,1.1582
12,-0.0002
13,-0.0000
14,0.0000
15,-0.1571
16,0.0000
17,0.0000
18,-0.0000
19,0.1819
20,-0.0000
21,0.0349
22,-0.0000
23,-0.0000
24,0.5619
25,-0.0000
26,-0.0000
27,0.0000
28,-0.0000
29,-0.0000
30,0.0000
31,-0.0038
32,0.0000
33,0.0000
34,-0.0479
35,-0.0000
36,0.0000
37,-0.0000
38,0.0000
39,-0.0000
40,-0.0001
41,-0.0000
42,0.0028
43,-0.0000
44,-0.0390
45,-0.0000
46,-0.0000
47,-0.0000
48,-0.0000
49,0.0000
50,0.0065
51,0.0000
52,-0.0035
53,-0.0000
54,-0.0001
55,0.1380
56,-0.0000
57,0.0006
58,0.0000
59,-0.0000
60,-0.0000
61,-0.0000
62,0.0000
63,0.0000
64,-0.0598
65,0.1573
66,-0.0000
67,0.0017
68,-0.0000
69,0.0000
70,0.0000
71,0.0000
72,-0.0001
73,0.0000
74,0.0000
75,0.0000
76,0.8080
77,-0.2814
78,0.3071
79,-0.0000
80,0.0000
81,-0.0000
82,-0.0382
83,0.0000
84,0.0000
85,-0.0000
86,0.0000
87,0.4360
88,0.0000
89,-0.0000
90,-0.0001
91,-0.0000
92,-0.0000
93,0.0000
94,0.0018
95,0.0000
96,-0.0000
97,-0.0001
98,-0.0170
99,-0.0000
100,-0.0000
