1,-0.0000
2,-0.1481
3,0.0000
4,-0.0000
5,-0.0000
6,0.0000
7,0.1337
8,-0.0000
9,-0.0637
10,-0.0000
11,1.2327
12,0.0000
13,-0.0002
14,0.0000
15,-0.0000
16,-0.1559
17,0.0001
18,0.0000
19,0.0000
20,-0.0000
21,0.3664
22,0.0070
23,0.0000
24,0.8366
25,-0.0001
26,0.0000
27,-0.0000
28,0.0000
29,0.0070
30,-0.0000
31,0.0000
32,-0.0000
33,0.0000
34,0.0000
35,-0.0000
36,0.0000
37,-0.0382
38,-0.0027
39,-0.0000
40,-0.0000
41,0.0000
42,0.0000
43,-0.0000
44,-0.0000
45,-0.0000
46,-0.0361
47,-0.0000
48,-0.0000
49,-0.0024
50,-0.0000
51,-0.0000
52,-0.1227
53,-0.0000
54,-0.0017
55,-0.0000
56,-0.0000
57,0.0000
58,-0.0001
59,0.0000
60,0.0000
61,0.0000
62,-0.0066
63,-0.0000
64,-0.0575
65,-0.0000
66,0.0026
67,0.2998
68,-0.0000
69,0.0000
70,-0.0000
71,0.0001
72,-0.0001
73,-0.0000
74,-0.0000
75,-0.0000
76,0.0100
77,0.0000
78,0.3280
79,-0.0000
80,-0.4199
81,0.0000
82,0.0000
83,0.0000
84,0.0000
85,0.0000
86,-0.2223
87,0.7621
88,0.0000
89,-0.0000
90,-0.0002
91,0.0000
92,0.0000
93,0.0026
94,-0.0000
95,0.0000
96,0.0000
97,-0.0001
98,0.0000
99,-0.0000
100,-0.0149
